indication,metric,value,source_citation,source_tier,definition,population,year_or_range,geography,split_logic,source_url,notes,confidence
Prostate,incidence,174650,SEER Stat Fact,gold,New cases per year,US adults,2019,US,,https://seer.cancer.gov,,high
Prostate,prevalence,3300000,SEER / literature,silver,Point prevalence,US,2018-2019,US,,,Reconciled estimates,medium
